,precision,recall,f1-score,support
0,0.9941002949852508,0.9711815561959655,0.9825072886297376,347.0
1,0.9915730337078652,1.0,0.995768688293371,353.0
2,0.9895432030820033,0.9983342587451416,0.9939192924267551,1801.0
3,0.9998334163200749,0.9998096231820387,0.9998215196095032,546285.0
4,0.6,0.5454545454545454,0.5714285714285714,11.0
5,0.9886792452830189,0.9961977186311787,0.9924242424242424,789.0
6,0.9983068783068783,0.9999470030208278,0.9991262675739363,18869.0
7,0.9997891718670939,0.9999578272604588,0.9998734924517163,23712.0
8,1.0,1.0,1.0,98.0
9,0.9819819819819819,0.8885869565217391,0.9329529243937232,368.0
10,0.0,0.0,0.0,7.0
11,0.9821683309557775,0.9849785407725322,0.9835714285714285,1398.0
12,1.0,1.0,1.0,16.0
accuracy,0.999670063664246,0.999670063664246,0.999670063664246,0.999670063664246
macro avg,0.8866135043453803,0.875726771521879,0.8808764396771527,594054.0
weighted avg,0.9996571105944585,0.999670063664246,0.9996619257380743,594054.0
