class_id,precision,recall,f1,fpr,support
0,0.9941002949852508,0.9711815561959655,0.9825072886297376,3.368665014897921e-06,347
1,0.9915730337078652,1.0,0.995768688293371,5.0530485884308766e-06,353
2,0.9895432030820033,0.9983342587451416,0.9939192924267551,3.2080884351788845e-05,1801
3,0.9998334163200749,0.9998096231820387,0.9998215196095032,0.0019050011513743223,546285
4,0.6,0.5454545454545454,0.5714285714285714,6.7335192906910775e-06,11
5,0.9886792452830189,0.9961977186311787,0.9924242424242424,1.5170286465576092e-05,789
6,0.9983068783068783,0.9999470030208278,0.9991262675739363,5.5634274190043205e-05,18869
7,0.9997891718670939,0.9999578272604588,0.9998734924517163,8.766669822667803e-06,23712
8,1.0,1.0,1.0,0.0,98
9,0.9819819819819819,0.8885869565217391,0.9329529243937232,1.0106352516313337e-05,368
10,0.0,0.0,0.0,0.0,7
11,0.9821683309557775,0.9849785407725322,0.9835714285714285,4.2182986420453014e-05,1398
12,1.0,1.0,1.0,0.0,16
