,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.028554070473876064,0.08061749571183534,0.042171377299237325,583.0
2,0.43727598566308246,0.05967229151381756,0.10501398751882936,4089.0
3,0.559042210643405,0.857797340998922,0.6769219863183639,11132.0
4,0.29005255985984035,0.4915869350049489,0.3648383937316356,6062.0
5,0.996230538104343,0.9663504848709661,0.9810630514310308,18871.0
6,0.9695385473302662,0.7518378378378379,0.8469219996346588,37000.0
7,0.7602515035538545,0.7954805491990846,0.7774671512440593,3496.0
8,0.17382125263898662,0.6534391534391535,0.2745969983324069,378.0
9,0.13924050632911392,0.25,0.17886178861788618,44.0
accuracy,0.7519919350920663,0.7519919350920663,0.7519919350920663,0.7519919350920663
macro avg,0.43540071745967684,0.4906782088576566,0.4247856734128108,82332.0
weighted avg,0.8160701555070026,0.7519919350920663,0.7637441283739321,82332.0
