class_id,class_name,precision,recall,f1,fpr,support,tp,fp,fn,tn
0,http_f,0.0,0.0,0.0,0.00756842814279591,677,0,618,677,81037
1,icmp_f,0.028554070473876064,0.08061749571183534,0.042171377299237325,0.019559872292015803,583,47,1599,536,80150
2,icmp_smf,0.43727598566308246,0.05967229151381756,0.10501398751882936,0.004013138555525734,4089,244,314,3845,77929
3,Normal,0.559042210643405,0.857797340998922,0.6769219863183639,0.10578651685393259,11132,9549,7532,1583,63668
4,smtp_b,0.29005255985984035,0.4915869350049489,0.3648383937316356,0.09563393208338797,6062,2980,7294,3082,68976
5,tcp_land,0.996230538104343,0.9663504848709661,0.9810630514310308,0.0010872819526953563,18871,18236,69,635,63392
6,tcp_red_w,0.9695385473302662,0.7518378378378379,0.8469219996346588,0.019279978822906555,37000,27818,874,9182,44458
7,tcp_syn_f,0.7602515035538545,0.7954805491990846,0.7774671512440593,0.011124359429702167,3496,2781,877,715,77959
8,tcp_udp_win_p,0.17382125263898662,0.6534391534391535,0.2745969983324069,0.014325109207604266,378,247,1174,131,80780
9,tcp_w32_w,0.13924050632911392,0.25,0.17886178861788618,0.0008263659342796034,44,11,68,33,82220
10,udp_0,0.0,0.0,0.0,0.0,0,0,0,0,82332
11,udp_f,0.0,0.0,0.0,0.0,0,0,0,0,82332
12,udp_reaper_w,0.0,0.0,0.0,0.0,0,0,0,0,82332
